"Plot Title: gasmetkammio"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20145739, SEN S/N: 20145739)","Coupler Attached (LGR S/N: 20145739)","Host Connected (LGR S/N: 20145739)","Stopped (LGR S/N: 20145739)","End Of File (LGR S/N: 20145739)"
1,06/03/19 09:00:00 AM,16.903,,,,
2,06/03/19 09:00:10 AM,16.808,,,,
3,06/03/19 09:00:20 AM,16.808,,,,
4,06/03/19 09:00:30 AM,16.713,,,,
5,06/03/19 09:00:40 AM,16.618,,,,
6,06/03/19 09:00:50 AM,16.618,,,,
7,06/03/19 09:01:00 AM,16.523,,,,
8,06/03/19 09:01:10 AM,16.427,,,,
9,06/03/19 09:01:20 AM,16.332,,,,
10,06/03/19 09:01:30 AM,16.237,,,,
11,06/03/19 09:01:40 AM,16.237,,,,
12,06/03/19 09:01:50 AM,16.141,,,,
13,06/03/19 09:02:00 AM,16.141,,,,
14,06/03/19 09:02:10 AM,16.046,,,,
15,06/03/19 09:02:20 AM,16.046,,,,
16,06/03/19 09:02:30 AM,16.046,,,,
17,06/03/19 09:02:40 AM,15.951,,,,
18,06/03/19 09:02:50 AM,15.951,,,,
19,06/03/19 09:03:00 AM,15.951,,,,
20,06/03/19 09:03:10 AM,15.855,,,,
21,06/03/19 09:03:20 AM,15.855,,,,
22,06/03/19 09:03:30 AM,15.855,,,,
23,06/03/19 09:03:40 AM,15.760,,,,
24,06/03/19 09:03:50 AM,15.760,,,,
25,06/03/19 09:04:00 AM,15.760,,,,
26,06/03/19 09:04:10 AM,15.760,,,,
27,06/03/19 09:04:20 AM,15.760,,,,
28,06/03/19 09:04:30 AM,15.760,,,,
29,06/03/19 09:04:40 AM,15.664,,,,
30,06/03/19 09:04:50 AM,15.664,,,,
31,06/03/19 09:05:00 AM,15.664,,,,
32,06/03/19 09:05:10 AM,15.664,,,,
33,06/03/19 09:05:20 AM,15.664,,,,
34,06/03/19 09:05:30 AM,15.664,,,,
35,06/03/19 09:05:40 AM,15.664,,,,
36,06/03/19 09:05:50 AM,15.569,,,,
37,06/03/19 09:06:00 AM,15.569,,,,
38,06/03/19 09:06:10 AM,15.569,,,,
39,06/03/19 09:06:20 AM,15.569,,,,
40,06/03/19 09:06:30 AM,15.569,,,,
41,06/03/19 09:06:40 AM,15.473,,,,
42,06/03/19 09:06:50 AM,15.473,,,,
